"Genus"	"Subgenus"	"Section"	"Series"	"Subseries"	"Species"	"Subspecies"	"NativeRange"	"DN_Observed"	"DN_Collected"	"CCA_Status"	"Synonyms"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Liberae"	"Eucalyptus talyuberlup (Stirling Range yate)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Liberae"	"Eucalyptus burdettiana (Burdett’s mallee)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Liberae"	"Eucalyptus newbeyi (Newbey’s yate)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Liberae"	"Eucalyptus megacornuta (warty yate)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus mcquoidii (Quoin Head marlock)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus sinuosa (octopus mallee)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus retusa (Point Hood yate)"	""	"WA"	"O"	"C"	"G(1)m"	"E. sp. Bremer Bay (Sandiford PERTH 01137484), E. ‘jinungurdu’ ms"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus lehmannii (bushy yate)"	""	""	""	""	""	"Symphyomyrtus lehmannii"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus lehmannii (bushy yate)"	"subsp. parallela"	"WA"	"O"	"C"	"G(6)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus lehmannii (bushy yate)"	"subsp. lehmannii"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus arborella (Twertup yate)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus conferruminata"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus conferruminata"	"subsp. conferruminata (Bald Island marlock)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"Eucalyptus conferruminata"	"subsp. recherche (spider gum)"	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Cornutae"	"sub Conjunctae (bushy yates)"	"[Eucalyptus × bennettiae (Bennett’s mallee)]"	""	"WA"	"O"	"C"	"G(1)m"	"= E. lehmannii subsp. parallela × E. sporadica hybrid"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus wandoo (wandoo)"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus wandoo (wandoo)"	"subsp. wandoo"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus wandoo (wandoo)"	"subsp. pulverea"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus capillosa (wheatbelt wandoo)"	""	"WA"	"O"	"C"	"G(5)m"	"E. capillosa subsp. polyclada, E. nigrifunda"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus livida (mallee wandoo)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus arachnaea"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus arachnaea"	"subsp. arachnaea (black-stemed mallee)"	"WA"	"O"	"C"	"G(1)m"	"E. redunca var. melanophloia"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus arachnaea"	"subsp. arrecta (black-stemmed mallet)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus phaenophylla (common southern mallee)"	""	"WA"	"O"	"C"	"G(4)m"	"E. phaenophylla subsp. interjacens, E. sparsicoma"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus tumida"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus histophylla (Dundas mallee)"	""	"WA"	"O"	"C"	"G(2)m"	"E. luteola"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae (wandoo group)"	"sub Levispermae"	"Eucalyptus flavida (yellow-flowered mallee)"	""	"WA"	"O"	"C"	"G(2)m"	"E. redunca var. oxymitra"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus subangusta"	""	""	""	""	""	"E. redunca var. subangusta"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus subangusta"	"subsp. cerina (Warralakin mallee)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus subangusta"	"subsp. subangusta (grey mallee)"	"WA"	"O"	"C"	"G(2)m"	"?E. subangusta subsp. virescens"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus subangusta"	"subsp. pusilla (ember mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus subangusta"	"?subsp. virescens (Narembeen mallee)"	"WA"	"O"	"C"	"G(1)m"	"Dubious subspecies (possibly = E. arachnaea subsp. arachnaea × E. subangusta subsp. subangusta hybrid swarm)"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus subtilis (narrow-leaved mallee)"	""	"WA"	"O"	"C"	"G(3)m"	"E. microschema"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus xanthonema"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus xanthonema"	"subsp. xanthonema (Needilup mallee)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus xanthonema"	"subsp. apposita"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus melanophitra (Pallinup River mallet)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus praetermissa (Beaufort Inlet mallet)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus hebetifolia (middle mallee)"	""	"WA"	"O"	"C"	"G(3)m"	"E. medialis"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus clivicola (green mallet)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus gardneri"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus gardneri"	"subsp. ravensthorpensis (Ravensthorpe blue mallet)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus gardneri"	"subsp. gardneri (blue mallet)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus densa (narrow-leaved blue mallet)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus ‘improcera’ ms (narrow-leaved blue mallee)"	""	"WA"	"O"	"C"	"G(1)m"	"E. densa subsp. improcera"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus pluricaulis"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus pluricaulis"	"subsp. pluricaulis (blue-leaved mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus pluricaulis"	"subsp. porphyrea (purple-leaved mallee)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus varia"	""	"WA"	"O"	"C"	"G(2)m"	"E. varia subsp. salsuginosa"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"Eucalyptus redunca (black marlock)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Levispermae"	"[Eucalyptus × abdita]"	""	"WA"	"O"	"C"	"G(1)m"	"= E. arachnaea × E. pluricaulis subsp. pluricaulis hybrid swarm"
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Levispermae"	"sub Desmondenses"	"Eucalyptus desmondensis (Desmond mallee)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"‘Glandulosae’ ms"	"Dundasianae"	""	"Eucalyptus dundasii (Dundas blackbutt)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Decurvae"	""	"Eucalyptus doratoxylon (spearwood mallee)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Decurvae"	""	"Eucalyptus decurva (slender mallee)"	""	"WA"	"O"	"C"	"– (1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Squamosae"	""	"Eucalyptus pachycalyx"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Squamosae"	""	"Eucalyptus pachycalyx"	"?subsp. pachycalyx (pumpkin bark)"	"Qld"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Squamosae"	""	"Eucalyptus pachycalyx"	"?subsp. waajensis (Waaje pumpkin bark)"	"Qld"	"O"	"C"	"G(1)m"	"Dubious subspecies"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Squamosae"	""	"Eucalyptus pachycalyx"	"?subsp. banyabba (Banyabba pumpkin bark)"	"NSW"	"O"	"C"	"G(1)m"	"Dubious subspecies"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Squamosae"	""	"Eucalyptus squamosa (scaly bark)"	""	"NSW"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Micrantherae"	"Eucalyptus micranthera (Alexander River mallee)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus jutsonii"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus jutsonii"	"subsp. jutsonii (Jutson’s mallee)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus jutsonii"	"subsp. kobela (Karara mallee)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus mannensis"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus mannensis"	"subsp. mannensis (Mann Ranges mallee)"	"WA,SA,NT"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus mannensis"	"subsp. vespertina"	"WA"	"O"	"C"	"G(1)m"	"E. mannensis subsp. western in Brooker & Kleinig 1990"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Micrantherae"	"sub Bakerianae"	"Eucalyptus bakeri (Baker’s mallee)"	""	"Qld,NSW"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Angustissimae (narrow-leaved oil mallees)"	""	"Eucalyptus cneorifolia (Kangaroo Island narrow-leaved mallee)"	""	"SA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Angustissimae (narrow-leaved oil mallees)"	""	"Eucalyptus misella (Field Road mallee)"	""	"WA"	"O"	"C"	"G(1)m"	"E. sp. L in Brooker & Kleinig 1990"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Angustissimae (narrow-leaved oil mallees)"	""	"Eucalyptus foliosa"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Angustissimae (narrow-leaved oil mallees)"	""	"Eucalyptus quaerenda (Melaleuca mallee)"	""	"WA"	"O"	"C"	"G(2)m"	"E. angustissima subsp. quaerenda"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Angustissimae (narrow-leaved oil mallees)"	""	"Eucalyptus angustissima (broombush mallee)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Salmonophloiae"	""	"Eucalyptus salmonophloia (salmon gum)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus recta (Wongan Hills silver mallet)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus rugulata (Ironcaps silver mallet)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus ornata (silver mallet)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus falcata (silver mallet)"	""	"WA"	"O"	"C"	"G(2)m"	"E. argyphea, E. sp. J in Brooker & Kleinig 1990"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus purpurata (purple-crowned silver mallet)"	""	"WA"	"O"	"C"	"G(2)m"	"E. sp. Bandalup Hill (French 1101)"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus cooperiana (many-flowered mallee)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus petrensis (limestone mallee)"	""	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus opimiflora (northern silver mallee)"	""	"WA"	"O"	"C"	"G(3)m"	"E. sp. Badgingarra (Nicolle 3515 & French), E. falcata subsp. ‘opima’ ms"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus dorrienii (silver mallee)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus ecostata (coastal silver mallee)"	""	"WA"	"O"	"C"	"G(5)m"	"E. falcata var. ecostata, E. falcata subsp. Jerramungup (Canning CBG 038636)"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus semiglobosa"	""	"WA"	"O"	"C"	"G(2)m"	"E. goniantha subsp. semiglobosa"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus notactites (southern limestone mallee)"	""	"WA"	"O"	"C"	"G(3)m"	"E. goniantha subsp. notactites, E. gonianatha subsp. sessile fruit in Brooker & Kleinig 1990"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus goniantha"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus goniantha"	"subsp. goniantha (Manypeaks mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus goniantha"	"subsp. kynoura (Point Hillier mallee)"	"WA"	"O"	"C"	"G(1)m"	"E. sp. Point Hillier (Nicolle 3759 & French)"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus kessellii"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus kessellii"	"subsp. eugnosta (Jerdacuttup mallee)"	"WA"	"O"	"C"	"G(1)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus kessellii"	"subsp. kesselli (Kessell’s mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"Eucalyptus annettae (Tookle Jenna mallet)"	""	"WA"	"O"	"C"	"G(1)m"	"E. sp. Point Malcolm (Nicolle 6011 & French)"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Rugatae"	"[Eucalyptus × balanopelex]"	""	"WA"	"O"	"C"	"G(1)m"	"= E. kessellii subsp. eugnosa × E. semiglobosa hybrid swarm"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"Eucalyptus obesa (Ninety Mile Tank mallee)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"Eucalyptus adesmophloia (Wellstead mallee)"	""	"WA"	"O"	"C"	"G(1)m"	"E. decipiens subsp. adesmophloia"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"Eucalyptus decipens (redheart)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"[Eucalyptus × communalis]"	""	"WA"	"O"	"C"	"G(1)m"	"= E. adesmophloia – E. obesa intergrade"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"[Eucalyptus × decipiens subsp. chalara]"	""	"WA"	"O"	"C"	"G(1)m"	"= E. decipiens – E. adesmophloia intergrade"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"[Eucalyptus × balanites (Cadda Road mallee)]"	""	"WA"	"O"	"C"	"G(1)"	"= E. decipiens × E. lane-poolei hybrid"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Falcatae"	"sub Decipientes"	"[Eucalyptus × phylacis (Meelup mallee)]"	""	"WA"	"O"	"C"	"–"	"= E. decipiens × E. virginia hybrid"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Brockwayanae"	""	"Eucalyptus brockwayi (Dundas mahogany)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus delicata"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus longicornis (red morrel)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus oleosa"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus oleosa"	"subsp. corvina (Ravensthorpe stocking mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus oleosa"	"subsp. cylindroidea"	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus oleosa"	"subsp. oleosa (red mallee)"	"SA,WA,Vic,NSW"	"O"	"C"	"G(5)m"	"E. oleosa subsp. repleta, E. sp. N in Brooker & Kleinig 1990, E. oleosa subsp. Desert in Nicolle 1997"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus oleosa"	"subsp. ampliata (coastal red mallee)"	"SA,WA"	"O"	"C"	"G(8)m"	"E. oleosa subsp. wylieana, E. oleosa subsp. victima, E. oleosa subsp. Coastal in Nicolle 1997"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Spirales"	"Eucalyptus grasbyi (Barlee red morrel)"	""	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus longissima (greenstone mallee)"	""	"WA"	"O"	"C"	"G(4)m"	"E. sp. M in Brooker & Kleinig 1990"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus eremicola"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus eremicola"	"subsp. eremicola (Nawa mallee)"	"WA,SA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus eremicola"	"subsp. peeneri (peeneri mallee)"	"WA,SA"	"O"	"C"	"G(2)m"	"E. sublucida, E. oleosa var. peeneri, E. peeneri, E. sp. O in Brooker & Kleinig 1990, E. sp. PP in Brooker & Kleinig 1994"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus ultima (Exmouth mallee)"	""	"WA"	"O"	"C"	"G(2)m"	"E. sp. OO in Brooker & Kleinig 1994"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus kochii"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus kochii"	"subsp. yellowdinensis (Yellowdine mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus kochii"	"subsp. amaryssia (shiny-leaved oil mallee)"	"WA"	"O"	"C"	"G(2)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus kochii"	"subsp. borealis (Mullewa mallee)"	"WA"	"O"	"C"	"G(2)m"	"E. oleosa var. borealis"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus kochii"	"subsp. plenissima (Trayning mallee)"	"WA"	"O"	"C"	"G(2)m"	"E. plenissima, E. oleosa var. plenissima"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Oleaginae (oil mallees)"	"Eucalyptus kochii"	"subsp. kochii (oil mallee)"	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Decussatae"	"Eucalyptus aspersa (forest mallee)"	""	"WA"	"O"	"C"	"G(3)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Decussatae"	"Eucalyptus yalatensis (Yalata mallee)"	""	"SA,WA"	"O"	"C"	"G(5)m"	
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Decussatae"	"Eucalyptus socialis"	""	""	""	""	""	""
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Decussatae"	"Eucalyptus socialis"	"subsp. viridans (green-leaved red mallee)"	"SA"	"O"	"C"	"G(3)m"	"E. socialis subsp. ‘glossy leaves’ in Brooker et al. 2002, E. socialis subsp. Glossy green (Lang 804)"
"Eucalyptus"	"Symphyomyrtus"	"Bisectae"	"Subulatae"	"sub Decussatae"	"Eucalyptus socialis"	"subsp. socialis (summer red mallee)"	"SA,NSW,Vic"	"O"	"C"	"G(5)m"	
