"Genus"	"Subgenus"	"Section"	"Series"	"Subseries"	"Species"	"Subspecies"	"NativeRange"	"DN_Observed"	"DN_Collected"	"CCA_Status"	"Synonyms"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms (concolorous-leaved red bloodwoods)"	"sub ‘Peltiformes’ ms"	"Corymbia bleeseri (smooth-stemmed bloodwood)"	""	"NT,WA"	"O"	"C"	"– (1)"	"E. bleeseri"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms (concolorous-leaved red bloodwoods)"	"sub ‘Peltiformes’ ms"	"Corymbia collina (silver-leaved bloodwood)"	""	"WA"	"O"	"C"	"– (1)"	"E. collina"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia oocarpa"	""	"NT"	"O"	"C"	"– (1)"	"E. oocarpa"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia dichromophloia (small-fruited bloodwood)"	""	"NT,WA"	"O"	"C"	"G(3)"	"C. rubens, E. atrovirens, E. dichromophloia"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia capricornia (small-fruited bloodwood)"	""	"NT,Qld,WA"	"O"	"C"	"G(2)"	"E. capricornia"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia drysdalensis (silver-tipped bloodwood)"	""	"WA,NT"	"O"	"C"	"– (1)"	"E. drysdalensis"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia umbonata (rusty bloodwood)"	""	"NT"	"O"	"C"	"G(1)"	"E. ollaris, E. umbonata"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia erythrophloia (red bloodwood)"	""	"Qld"	"O"	"C"	"G(1)"	"E. erythrophloia"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia pocillum (red bloodwood)"	""	"Qld"	"O"	"C"	"– (1)"	"E. pocillum"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Isobilaterales’ ms"	"sub ‘Limitaneae’ ms"	"Corymbia ellipsoidea"	""	"Qld"	"O"	"C"	"G(1)"	"C. porphyritica, E. ellipsoidea"
